,C594
3070,27
3077,452
3079,171
3084,251
3087,270
3090,27
3092,479
3094,230
3095,480
3096,332
3097,472
3103,427
3104,85
3105,85
3106,85
3107,91
3113,103
3121,313
3122,397
3127,88
3135,265
3137,1
3138,105
3141,18
3143,160
3144,195
3147,403
3151,27
3154,76
3155,172
3157,91
3164,110
3169,415
3172,355
3178,481
3181,27
3182,27
3183,482
3185,27
3186,27
3187,251
3188,81
3189,273
3191,336
3194,110
3195,48
3201,483
3202,60
3203,484
3209,181
3214,23
3215,379
3216,48
3218,60
3220,314
3221,27
3223,96
3226,475
3227,142
3233,485
3235,296
3238,141
3239,486
3241,487
3246,48
3254,325
3257,48
3258,17
3260,88
3261,150
3262,488
3264,489
3267,60
3273,18
3274,60
3281,151
3282,85
3284,224
3290,48
3292,454
3296,206
3299,427
3300,379
3301,17
3302,359
3305,12
3306,425
3311,487
3314,1
3316,68
3318,110
3321,27
3324,27
3325,110
3328,388
3330,139
3331,27
3333,44
3335,159
3337,40
3339,139
3340,490
3341,490
3343,27
3344,116
3345,1
3356,273
3357,273
3358,27
3359,220
3360,491
3361,492
3363,210
3368,431
3371,36
3372,46
3373,46
3375,95
3378,59
3379,162
3381,33
3382,20
3383,43
3384,330
3394,320
3399,132
3401,222
3402,343
3403,53
3406,273
3410,416
3421,128
3426,493
3428,32
3429,32
3431,429
3436,227
3437,16
3439,274
3440,43
3446,494
3459,132
3468,272
3471,204
3472,287
3480,495
3487,496
3488,497
3493,323
3494,16
3495,498
3503,499
3515,122
3517,11
3522,18
3524,13
3525,13
3531,13
3532,120
3539,308
3540,77
3541,13
3552,321
3556,204
3560,27
3565,60
3568,358
3569,450
3571,486
3573,481
3576,102
3580,434
3582,48
3584,274
3585,27
3586,21
3588,481
3592,165
3594,500
3595,494
3600,167
3605,501
3606,417
3608,502
3609,29
3610,29
3612,149
3613,503
3615,400
3616,167
3617,27
3618,460
3619,504
3620,505
3623,27
3625,413
3628,171
3629,43
3633,27
3634,16
3635,60
3637,16
3638,382
3643,18
3644,13
3647,1
3652,455
3653,356
3656,110
3663,386
3665,247
3666,48
3667,363
3672,469
3676,27
3677,506
3678,62
3679,18
3682,162
3684,394
3685,48
3690,507
3695,148
3698,139
3699,507
3707,508
3710,509
3712,13
3716,505
3726,32
3729,85
3733,373
3735,27
3736,373
3737,377
3757,132
3759,463
3762,277
3763,510
3765,511
3766,185
3767,241
3774,246
3776,27
3782,359
3783,27
3786,27
3787,27
3797,82
3798,299
3799,378
3800,13
3801,378
3802,333
3803,63
3804,285
3807,45
3809,347
3812,512
3814,248
3818,357
3819,27
3821,321
3823,27
3827,27
3829,414
3833,27
3842,27
3846,213
3847,213
3848,261
3849,333
3851,146
3855,13
3858,48
3861,513
3865,27
3867,146
3869,336
3872,71
3875,310
3876,252
3882,27
3883,514
3886,239
3891,515
3892,254
3894,222
3896,385
3897,282
3904,200
3908,157
3910,225
3912,263
3917,27
3918,18
3919,516
3928,276
3934,337
3936,366
3937,27
3940,27
3943,505
3944,131
3947,361
3948,507
3949,171
3952,209
3953,135
3956,25
3972,27
3973,447
3974,507
3975,517
3977,518
3980,27
3981,234
3988,18
3989,1
3990,1
3992,200
3993,510
3999,304
4000,352
4005,227
4010,236
4015,183
4018,1
4022,62
4023,62
4025,1
4026,394
4027,253
4029,130
4031,2
4032,18
4036,68
4043,199
4046,519
4054,391
4055,507
4061,483
4070,139
4072,62
4073,520
4076,151
4079,18
4080,245
4082,27
4084,18
4085,501
4087,287
4088,110
4091,181
4094,18
4095,43
4101,470
4104,162
4106,165
4107,370
4109,181
4111,82
4114,214
4121,466
4127,521
4128,1
4134,330
4135,33
4138,113
4144,71
4148,377
4152,394
4154,31
4160,16
4162,180
4163,18
4164,435
4170,473
4176,516
4179,522
4185,523
4187,379
4203,82
4205,62
4206,27
4209,524
4210,525
4211,173
4213,220
4214,274
4215,18
4216,209
4218,197
4223,113
4224,162
4226,27
4229,198
4230,58
4234,526
4236,84
4237,48
4238,165
4239,292
4245,176
4246,17
4248,82
4251,216
4252,84
4254,523
4262,27
4263,379
4264,379
4268,48
4271,527
4274,27
4275,155
4276,293
4279,132
4280,2
4285,280
4286,48
4288,48
4292,350
4296,481
4299,50
4302,93
4314,48
4319,64
4321,36
4329,242
4331,51
4334,479
4338,349
4343,294
4346,129
4351,122
4353,341
4354,200
4355,282
4359,194
4360,18
4364,528
4370,190
4372,61
4376,82
4379,29
4380,13
4381,21
4384,13
4385,113
4386,21
4389,400
4391,232
4392,214
4394,1
4395,292
4398,51
4401,13
4403,378
4406,27
4407,13
4409,288
4412,229
4414,27
4417,403
4418,1
4419,1
