source,target,value
2196,5857,1
2203,2203,1
2203,2655,1
2207,2207,3
2210,660,1
2210,720,1
2210,2210,1
2210,4374,1
2210,7964,1
2213,63,1
2213,1515,1
2213,1854,1
2213,2213,1
2214,1174,1
2214,1367,1
2214,2214,1
2226,2226,1
2226,3010,1
2226,3388,1
2228,633,1
2228,1559,1
2228,2228,1
2228,4535,1
2228,4817,1
2231,2125,1
2231,2231,1
2231,3308,1
2231,5188,1
2231,6069,1
2231,6586,1
2243,2243,1
2243,7292,1
2243,7575,1
2255,2255,1
2255,6715,1
2257,2257,1
2257,2448,1
2257,6240,1
2259,1230,1
2259,2259,1
2259,5639,1
2259,6386,1
2268,2268,1
2268,2418,1
2268,3701,1
2268,7108,1
2270,2270,1
2270,7463,1
2270,7954,1
2279,1786,1
2279,2279,2
2279,3329,2
2279,6522,1
2279,7292,2
2293,1279,1
2293,2293,1
2293,4116,1
2293,6664,1
2293,6825,1
2294,705,1
2294,1338,1
2294,1391,1
2294,2294,1
2294,4155,1
2294,4952,1
2298,780,1
2298,2298,2
2298,3353,1
2298,6770,1
2303,2303,1
2303,2386,1
2303,3535,1
2303,4760,1
2304,2304,1
2304,6453,1
2313,2313,1
2313,2744,1
2313,2931,1
2313,5348,1
2313,5361,1
2313,6171,1
2313,7478,1
2321,328,1
2321,1360,1
2321,2321,1
2321,4227,1
2321,6158,1
2321,6771,1
2325,2325,1
2325,3266,1
2325,4929,1
2333,2333,1
2333,3091,1
2333,5964,1
2333,7687,1
2337,1753,1
2337,2337,1
2337,5323,1
2339,2339,2
2339,7467,2
2350,2350,1
2350,5415,1
2350,6954,1
2354,520,1
2354,2142,1
2354,2354,2
2354,4946,1
2354,5730,1
2354,7582,1
2356,2356,2
2356,3808,1
2356,5260,1
2356,7421,1
2357,379,1
2357,2357,1
2357,5693,1
2357,6480,1
2357,6507,1
2357,6671,1
2365,321,2
2365,2365,2
2365,5842,1
2365,7096,1
2370,2370,1
2370,7215,1
2377,2377,1
2377,3460,1
2379,988,1
